service,category,operation,provider,resource_type,gap_filled
identity,AuditLogs,Delete access package assignment policy,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Deny decision,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Export,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Fulfill access package assignment request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get configured identity providers,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get signInIdentifiers,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get supported identity providers,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get user flows,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Group_GetDynamicMembershipUserBaseAttributes,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,GroupsODataV4_Get,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,GroupsODataV4_evaluateDynamicMembership,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Hard Delete application,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Hard Delete device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Offboarded resource from PIM,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Other,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,PIM activation request expired,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Process escrow,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Ready to fulfill access package assignment request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove member from role (PIM activation expired),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove member from role completed (PIM deactivate),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove owner from group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove permanent direct role assignment,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove registered users from device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Request approved,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Start applying group based license to users,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update access package assignment policy,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update company,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update device local administrator password,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update service principal,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,User deleted security info,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,User requests access package assignment,Microsoft.AADIAM,diagnosticSettings,
intunelogshipping,AuditLogs,Commit Content MobileApp,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Create DeviceManagementConfigurationPolicy,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Create MobileApp,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Delete DeviceManagementConfigurationPolicyAssignment,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Delete MobileAppAssignment,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Patch DeviceManagementConfigurationPolicy,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,Patch MobileApp,Microsoft.Intune,diagnosticSettings,
intunelogshipping,AuditLogs,SyncWindowsAutopilotDevices WindowsAutopilotSettings,Microsoft.Intune,diagnosticSettings,
logshipping,Administrative,Add member to role completed (PIM activation),Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Add member to role in PIM requested (permanent),Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/APIS/DIAGNOSTICS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/APIS/OPERATIONS/POLICIES/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/BACKENDS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/CACHES/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/PORTALCONFIGS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/TAGS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.APIMANAGEMENT/SERVICE/TENANT/SYNCSTATE/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.AUTHORIZATION/ROLEASSIGNMENTS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.AUTHORIZATION/ROLEASSIGNMENTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.AUTHORIZATION/ROLEELIGIBILITYSCHEDULEREQUESTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.AUTOMATION/AUTOMATIONACCOUNTS/JOBS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.CDN/PROFILES/USAGES/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.CDN/PROFILES/VALIDATESECRET/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.CLOUDSHELL/REGISTER/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/DISKS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/DISKS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/VIRTUALMACHINES/EXTENSIONS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.COMPUTE/VIRTUALMACHINES/RESTART/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.DESKTOPVIRTUALIZATION/HOSTPOOLS/LISTREGISTRATIONTOKENS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.DESKTOPVIRTUALIZATION/HOSTPOOLS/SESSIONHOSTS/USERSESSIONS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.EVENTGRID/SYSTEMTOPICS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.EVENTGRID/SYSTEMTOPICS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.INSIGHTS/DATACOLLECTIONRULEASSOCIATIONS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.INSIGHTS/DIAGNOSTICSETTINGS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/AZUREFIREWALLS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/FIREWALLPOLICIES/RULECOLLECTIONGROUPS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/FRONTDOORWEBAPPLICATIONFIREWALLPOLICIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/IPGROUPS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALHUBS/HUBROUTETABLES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALHUBS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/SERVICEASSOCIATIONLINKS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/SERVICEASSOCIATIONLINKS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/UNPREPARENETWORKPOLICIES/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/TAGGEDTRAFFICCONSUMERS/VALIDATE/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.NETWORK/VIRTUALNETWORKS/VIRTUALNETWORKPEERINGS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RECOVERYSERVICES/LOCATIONS/BACKUPSTATUS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RECOVERYSERVICES/REGISTER/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPPOLICIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RESOURCES/DEPLOYMENTS/VALIDATE/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.RESOURCES/DEPLOYMENTS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SEARCH/SEARCHSERVICES/LISTADMINKEYS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SECURITY/DATASCANNERS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/MANAGEDINSTANCES/SERVERTRUSTCERTIFICATES/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/MANAGEDINSTANCES/SERVERTRUSTCERTIFICATES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/SERVERS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/PRIVATEENDPOINTCONNECTIONPROXIES/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/PRIVATEENDPOINTCONNECTIONPROXIES/VALIDATE/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/PRIVATEENDPOINTCONNECTIONPROXIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/READ,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.WEB/SITES/CONFIG/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,AppServiceConsoleLogs,Microsoft.Web/sites/log,Microsoft.Web,sites,
logshipping,AppServicePlatformLogs,ContainerLogs,Microsoft.Web,sites,
logshipping,Audit,ListKey,N/A,N/A,
logshipping,AuditEvent,CertificateCreate,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,CertificateGet,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,CertificateList,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,CertificatePolicyGet,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,SecretListVersions,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,VaultDelete,Microsoft.KeyVault,vaults,
logshipping,Autoscale,ScalingEvaluationSummary,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,AzureFirewallApplicationRule,AzureFirewallApplicationRuleLog,Microsoft.Network,azureFirewalls,
logshipping,AzureFirewallNetworkRule,AzureFirewallNetworkRuleLog,Microsoft.Network,azureFirewalls,
logshipping,AzurePolicyEvaluationDetails,AzurePolicyEvaulation,Microsoft.KeyVault,vaults,
logshipping,Checkpoint,Connection,Microsoft.DesktopVirtualization,hostpools,
logshipping,Connection,Connection,Microsoft.DesktopVirtualization,hostpools,
logshipping,Error,GatewayConnectionActive,Microsoft.DesktopVirtualization,hostpools,
logshipping,Error,LookupSessionHostPool,Microsoft.DesktopVirtualization,hostpools,
logshipping,Error,NetworkConnection,Microsoft.DesktopVirtualization,hostpools,
logshipping,Feed,Feed,Microsoft.DesktopVirtualization,workspaces,
logshipping,GatewayDiagnosticLog,HostMaintenanceEvent,Microsoft.Network,virtualNetworkGateways,
logshipping,GatewayLogs,Microsoft.ApiManagement/GatewayLogs,Microsoft.ApiManagement,service,
logshipping,OperationLogs,Indexes.Create,Microsoft.Search,searchServices,
logshipping,OperationLogs,Query.Lookup,Microsoft.Search,searchServices,
logshipping,OperationLogs,Query.Search,Microsoft.Search,searchServices,
logshipping,Policy,MICROSOFT.AUTHORIZATION/POLICIES/APPEND/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Policy,MICROSOFT.AUTHORIZATION/POLICIES/DENY/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Policy,MICROSOFT.AUTHORIZATION/POLICIES/MODIFY/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,QueryStoreWaitStatistics,QueryStoreWaitStatisticsEvent,Microsoft.Sql,servers/databases,
logshipping,RequestResponse,chatcompletions_create,Microsoft.CognitiveServices,accounts,
logshipping,ResourceHealth,Microsoft.Resourcehealth/healthevent/Activated/action,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,RouteDiagnosticLog,BgpConnectedEvent,Microsoft.Network,virtualNetworkGateways,
logshipping,RouteDiagnosticLog,BgpDisconnectedEvent,Microsoft.Network,virtualNetworkGateways,
logshipping,ServiceHealth,Microsoft.ServiceHealth/incident/action,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,StorageDelete,DeleteDirectory,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageDelete,DeleteEntity,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageDelete,DeleteMessage,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,ChangeNotify,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetBlob,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetContainerACL,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetFileShareUniqueId,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetQueueServiceProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetShareAcl,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,ListFiles,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,QueryDirectory,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,QueryEntities,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,QueryEntity,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,CopyBlobDestination,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,Create,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,CreateFile,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,CreateTable,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,DeleteEntity,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,EntityGroupTransaction,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,GetMessages,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,PutBlob,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,SetBlobMetadata,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,SetContainerMetadata,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,SetInfo,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,SetShareMetadata,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,UpdateEntity,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,UpdateMessage,Microsoft.Storage,storageAccounts/blobServices,
logshipping,WorkflowRuntime,Microsoft.Logic/workflows/workflowRunStarted,Microsoft.Web,sites,
identity,AuditLogs,Add AuthenticationContextClassReference,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Add Conditional Access policy,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Add named location,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Delete AuthenticationContextClassReference,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Delete Conditional Access policy,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Delete named location,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update AuthenticationContextClassReference,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update Conditional Access policy,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update continuous access evaluation,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update named location,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update security defaults,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,DeleteDataFromBackend,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,DeleteDataFromCosmosDb,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,ExportDataFromBackend,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,ExportDataFromCosmosDb,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Fraud reported - no action taken,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Fraud reported - user is blocked for MFA,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Suspicious activity reported,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Assign Hardware Oath Token,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Authentication Methods Policy Reset,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Authentication Methods Policy Update,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Authentication Strength Combination Configuration Create,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Authentication Strength Combination Configuration Delete,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Authentication Strength Combination Configuration Update,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Authentication Strength Policy Create,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Authentication Strength Policy Delete,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Authentication Strength Policy Update,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Bulk upload Hardware Oath Token,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Create Hardware Oath Token,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Delete Hardware Oath Token,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,MFA Service Policy Update,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,PATCH UserAuthMethod.ResetQRPinAsync,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,PATCH UserAuthMethod.UpdateQRPinAsync,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update Hardware Oath Token,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,DELETE Subscription.DeleteProviders,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,DELETE Tenant.DeleteAgentStatuses,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,DELETE Tenant.DeleteCaches,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,DELETE Tenant.DeleteGreetings,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,PATCH Tenant.Patch,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,PATCH Tenant.PatchCaches,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST SoundFile.Post,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST Subscription.CreateProvider,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST Subscription.CreateSubscription,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST Tenant.CreateBlockedUser,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST Tenant.CreateBypassedUser,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST Tenant.CreateCacheConfig,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST Tenant.CreateGreeting,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST Tenant.CreateTenant,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST Tenant.GenerateNewActivationCredentials,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST Tenant.RemoveBlockedUser,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,POST Tenant.RemoveBypassedUser,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update IdentityProtectionPolicy,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update NotificationSettings,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Create program,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Link program control,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Unlink program control,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update program,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Access review ended,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Apply decision,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Bulk Reset decisions,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Bulk mark decisions as don't know,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Create access review,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Delete access review,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Delete approvals,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Don't know decision,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Request expired,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Reset decision,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update partner directory settings,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update request,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Approve all requests in business flow,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Auto review,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Create governance policy template,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Delete governance policy template,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Deny all decisions,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Deny all requests in business flow,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Request denied,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update governance policy template,Microsoft.AADIAM,diagnosticSettings,Yes
identity,NonInteractiveUserSignInLogs,Sign-in activity,Microsoft.AADIAM,diagnosticSettings,Yes
identity,ServicePrincipalSignInLogs,Sign-in activity,Microsoft.AADIAM,diagnosticSettings,Yes
identity,ManagedIdentitySignInLogs,Sign-in activity,Microsoft.AADIAM,diagnosticSettings,Yes
identity,ADFSSignInLogs,Sign-in activity,Microsoft.AADIAM,diagnosticSettings,Yes
identity,MicrosoftServicePrincipalSignInLogs,Sign-in activity,Microsoft.AADIAM,diagnosticSettings,Yes
identity,ProvisioningLogs,Create,Microsoft.AADIAM,diagnosticSettings,Yes
identity,ProvisioningLogs,Update,Microsoft.AADIAM,diagnosticSettings,Yes
identity,ProvisioningLogs,Delete,Microsoft.AADIAM,diagnosticSettings,Yes
identity,ProvisioningLogs,StagedDelete,Microsoft.AADIAM,diagnosticSettings,Yes
identity,ProvisioningLogs,Disable,Microsoft.AADIAM,diagnosticSettings,Yes
identity,ProvisioningLogs,Other,Microsoft.AADIAM,diagnosticSettings,Yes
identity,RiskyServicePrincipals,Risky service principal,Microsoft.AADIAM,diagnosticSettings,Yes
identity,ServicePrincipalRiskEvents,Service Principal Risk Detection,Microsoft.AADIAM,diagnosticSettings,Yes
identity,RiskyAgents,Risky agent,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AgentRiskEvents,Agent Risk Detection,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Add app role assignment to group,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Convert federated user to managed,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Create application password for user,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Delete application password for user,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Disable Strong Authentication,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Enable Strong Authentication,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Remove OrganizationalUnit assigned to a user,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Remove user sponsor,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Reset password,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Set force change user password,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Set user manager,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Takeover user cloned,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update OrganizationalUnit assigned to a user,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Update external secrets,Microsoft.AADIAM,diagnosticSettings,Yes
identity,AuditLogs,Create group settings,Microsoft.AADIAM,diagnosticSettings,Yes
