service,category,operation,provider,resource_type,gap_filled
logshipping,Administrative,MICROSOFT.SQL/MANAGEDINSTANCES/DATABASES/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/MANAGEDINSTANCES/DATABASES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/MANAGEDINSTANCES/SECURITYALERTPOLICIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/SERVERS/DATABASES/SECURITYALERTPOLICIES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/SERVERS/DATABASES/SYNCGROUPS/TRIGGERSYNC/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/VIRTUALCLUSTERS/DELETE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.SQL/VIRTUALCLUSTERS/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/BLOBSERVICES/WRITE,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/LISTACCOUNTSAS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.STORAGE/STORAGEACCOUNTS/LISTKEYS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,MICROSOFT.WEB/SITES/PUBLISHXML/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Administrative,Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/backup/action,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,AgentHealthStatus,AgentUpdateHealthStatus,Microsoft.DesktopVirtualization,hostpools,
logshipping,AuditEvent,Authentication,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,CertificateListVersions,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,CertificatePendingGet,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,CertificatePendingMerge,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,VaultGet,Microsoft.KeyVault,vaults,
logshipping,AuditEvent,VaultPatch,Microsoft.KeyVault,vaults,
logshipping,Error,ClientRDPConnect,Microsoft.DesktopVirtualization,hostpools,
logshipping,Error,ComputeAPIVMOperation,Microsoft.DesktopVirtualization,hostpools,
logshipping,Error,Logon,Microsoft.DesktopVirtualization,hostpools,
logshipping,Errors,ErrorEvent,Microsoft.Sql,servers/databases,
logshipping,GatewayDiagnosticLog,SetConnectionConfiguration,Microsoft.Network,virtualNetworkGateways,
logshipping,HostRegistration,RegistrationToken,Microsoft.DesktopVirtualization,hostpools,
logshipping,IKEDiagnosticLog,IKELogEvent,Microsoft.Network,virtualNetworkGateways,
logshipping,NetworkSecurityGroupEvent,NetworkSecurityGroupEvents,Microsoft.Network,networkSecurityGroups,
logshipping,NetworkSecurityGroupRuleCounter,NetworkSecurityGroupCounters,Microsoft.Network,networkSecurityGroups,
logshipping,OperationLogs,DataSources.Update,Microsoft.Search,searchServices,
logshipping,OperationLogs,Indexers.Update,Microsoft.Search,searchServices,
logshipping,OperationLogs,Skillsets.Update,Microsoft.Search,searchServices,
logshipping,Policy,MICROSOFT.AUTHORIZATION/POLICIES/DEPLOYIFNOTEXISTS/ACTION,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,Recommendation,Microsoft.Advisor/recommendations/available/action,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,RequestResponse,List_Vector_Stores,Microsoft.CognitiveServices,accounts,
logshipping,RouteDiagnosticLog,BgpRouteUpdate,Microsoft.Network,virtualNetworkGateways,
logshipping,SQLSecurityAuditEvents,AuditEvent,Microsoft.Sql,servers/databases,
logshipping,ServiceHealth,Microsoft.ServiceHealth/maintenance/action,Microsoft.Insights,"N/A (subscription-level Activity Log, not a per-resource type)",
logshipping,StorageRead,GetBlobMetadata,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetBlobProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetContainerProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetFile,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetShareProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,GetUserDelegationKey,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,ListQueues,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,Read,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageRead,SetShareProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,CreateDirectory,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,CreateQueue,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,GetMessage,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,MergeEntity,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,OplockBreak,Microsoft.Storage,storageAccounts/blobServices,
logshipping,StorageWrite,SetFileProperties,Microsoft.Storage,storageAccounts/blobServices,
logshipping,WorkflowRuntime,Microsoft.Logic/workflows/workflowActionStarted,Microsoft.Web,sites,
logshipping,WorkflowRuntime,Microsoft.Logic/workflows/workflowTriggerCompleted,Microsoft.Web,sites,
identity,AuditLogs,Add BitLocker key,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add application,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add contact,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add delegated permission grant,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add eligible member to role in PIM completed (timebound),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add eligible member to role in PIM requested (permanent),Microsoft.AADIAM,diagnosticSettings,
